SalesTA_ID,company,ERP_Name,EntityID,region,FP_RegionID,global_region,FP_glb_regionID,global_reporting_region,glb_reporting_regionID,ShipTo_zip,ShipTo_zip_main_part,st_country,Country_ST_GeoID_Original,bt_country,Country_BT_GeoID,customer_no,customer_name,st_customer_name,st_customer_no,ShipToAddressID,invoice_line_no,line_item_no,LineItemID,item_no,ItemID,product,FP_ProductID,product_GBU,FP_Product_GBU_ID,product_main_grp,FP_Product_MainGroup_ID,USH_ProductID,USH_Product,invoice_type,invoice_no,OrderNo,transaction_date,TA_Date,yr,ym,ymd,Quantity,Unit,FP_qty,amnt,GM,cost,CurrencyCode,amnt_local,GM_local,zero_amnt,commission_ConfigID,commission_type,sales_district_id,sales_district,sales_territory_id,sales_territory,sales_region_id,sales_region,SalesRep,SalesRep_ContactID,assigned_TM_contact_id,assigned_TM,assigned_RSD_contact_id,assigned_RSD,creation_datetime,st_city,st_state,assigned_TM_contact_id_old,assigned_RSD_contact_id_old,sales_district_id_old,assigned_TM_old,assigned_RSD_old,sales_district_old,USS_NPIs_per_account,USS_NPIs_tercile,USS_consumables_segment,USS_capital_segment,USS_TTM_yearly_visits,USS_segmentation_id,plant_code,sales_office,BillTo_zip,OrderDate,ShippingDate,DueDate,line_item_no_root,CustomerId_SoldTo,CustomerName_SoldTo,UoMCode,SalesOrderLineNo,assigned_PODManager_contact_id,assigned_PODManager,customer_profile,first_transaction_date,account_age_months,industry,csat_score,last_transaction_date,sales_inactivity_days,churn_flag
294860,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,44691,44691.0,USA,236,USA,236,1018992,Wooster Community Hospital,Wooster Community HospitalAttn: Accounts Payable,1018992,50886,10,MPQ-2.5 US,35173,MPQ-2.5 US,35173,Incontinence MPQ,19293,Uro,652.0,Uro Disposables,656.0,9901.0,1-MPQ,Invoice,90584920,518580,2025-12-25,2025-12-25,2025,202512,2025-12-01,2.0,0,2.0,1698.0,1434.86,263.14,USD,1698.0,1434.86,No,1011.0,Commissionable sales (Uro),,,,Great Lakes TTM (7),,Great Lakes,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Wooster,OH,,,,,,,,,,,,,1717, ,44691,2024-04-10,,,MPQ-2.5 US,1018992,Wooster Community Hospital Attn: Accounts Payable,EA,518580000010.0,,,active,2024-12-13,16,Healthcare - Hospital,6.3,2025-12-25,122,Red
1015221,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,44691,44691.0,USA,236,USA,236,1018992,Wooster Community Hospital,Wooster Community HospitalAttn: Accounts Payable,1018992,50886,999,SAP_FREIGHT,54882,SAP_FREIGHT,54882,Freight UR,101501,Uro,652.0,Uro Other,657.0,,,Invoice,90584920,518580,2025-08-26,2025-08-26,2025,202508,2025-08-01,1.0,0,0.0,15.3,15.3,0.0,USD,15.3,15.3,No,1013.0,Non-commissionable product sales,,,,Great Lakes TTM (7),,Great Lakes,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Wooster,OH,,,,,,,,,,,,,1717, ,44691,2024-04-10,,,SAP_FREIGHT,1018992,Wooster Community Hospital Attn: Accounts Payable,,518580000000.0,,,active,2024-12-13,16,Healthcare - Hospital,7.8,2025-12-25,122,Red
295375,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,44691,44691.0,USA,236,USA,236,1018992,Wooster Community Hospital,Wooster Community HospitalAttn: Accounts Payable,1018992,50886,10,MPQ-2.5 US,35173,MPQ-2.5 US,35173,Incontinence MPQ,19293,Uro,652.0,Uro Disposables,656.0,9901.0,1-MPQ,Invoice,90580519,514098,2025-11-07,2025-11-07,2025,202511,2025-11-01,1.0,0,1.0,849.0,717.43,131.57,USD,849.0,717.43,No,1011.0,Commissionable sales (Uro),,,,Great Lakes TTM (7),,Great Lakes,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Wooster,OH,,,,,,,,,,,,,1717, ,44691,2024-04-01,,,MPQ-2.5 US,1018992,Wooster Community Hospital Attn: Accounts Payable,EA,514098000010.0,,,active,2024-12-13,16,Healthcare - Hospital,6.9,2025-12-25,122,Red
1013530,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,44691,44691.0,USA,236,USA,236,1018992,Wooster Community Hospital,Wooster Community HospitalAttn: Accounts Payable,1018992,50886,999,SAP_FREIGHT,54882,SAP_FREIGHT,54882,Freight UR,101501,Uro,652.0,Uro Other,657.0,,,Invoice,90580519,514098,2025-11-09,2025-11-09,2025,202511,2025-11-01,1.0,0,0.0,17.28,17.28,0.0,USD,17.28,17.28,No,1013.0,Non-commissionable product sales,,,,Great Lakes TTM (7),,Great Lakes,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Wooster,OH,,,,,,,,,,,,,1717, ,44691,2024-04-01,,,SAP_FREIGHT,1018992,Wooster Community Hospital Attn: Accounts Payable,,514098000000.0,,,active,2024-12-13,16,Healthcare - Hospital,6.3,2025-12-25,122,Red
1016491,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,82001,82001.0,USA,236,USA,236,1019117,Cheyenne Regional Medical Center,Cheyenne Regional Medical CenterAttn: Receiving PO-043593,1019117,9000284857,999,SAP_FREIGHT,54882,SAP_FREIGHT,54882,Freight UR,101501,Uro,652.0,Uro Other,657.0,,,Invoice,90588255,521559,2024-11-22,2024-11-22,2024,202411,2024-11-01,1.0,0,0.0,25.0,25.0,0.0,USD,25.0,25.0,No,1013.0,Non-commissionable product sales,,,,,,West,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Cheyenne,WY,,,,,,,,,,,,,1717, ,82001,2024-04-16,,,SAP_FREIGHT,1019117,Cheyenne Regional Medical Center Attn: Accounts Payable,,521559000000.0,,,churned,2024-11-22,17,Healthcare - Hospital,3.8,2025-03-07,415,Red
338850,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,82001,82001.0,USA,236,USA,236,1019117,Cheyenne Regional Medical Center,Cheyenne Regional Medical CenterAttn: Receiving PO-043593,1019117,9000284857,12,96313,100151,OPTBDL7003B,100721,Optilume Strictures,101833,Uro,652.0,Uro Equipment,655.0,100769.0,9-Optilume,Invoice,90588255,521559,2025-02-08,2025-02-08,2025,202502,2025-02-01,0.0,0,0.0,0.0,-62.96,62.96,USD,0.0,-62.96,Yes,1011.0,Commissionable sales (Uro),,,,,,West,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Cheyenne,WY,,,,,,,,,,,,,1717, ,82001,2024-04-16,,,96313,1019117,Cheyenne Regional Medical Center Attn: Accounts Payable,EA,521559000012.0,,,churned,2024-11-22,17,Healthcare - Hospital,4.6,2025-03-07,415,Red
316785,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,82001,82001.0,USA,236,USA,236,1019117,Cheyenne Regional Medical Center,Cheyenne Regional Medical CenterAttn: Receiving PO-043593,1019117,9000284857,10,OPTBDL7003B,100721,OPTBDL7003B,100721,Optilume Strictures,101833,Uro,652.0,Uro Equipment,655.0,100769.0,9-Optilume,Invoice,90588255,521559,2025-03-07,2025-03-07,2025,202503,2025-03-01,2.0,0,0.0,6200.0,6200.0,0.0,USD,6200.0,6200.0,No,1011.0,Commissionable sales (Uro),,,,,,West,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Cheyenne,WY,,,,,,,,,,,,,1717, ,82001,2024-04-16,,,OPTBDL7003B,1019117,Cheyenne Regional Medical Center Attn: Accounts Payable,EA,521559000010.0,,,churned,2024-11-22,17,Healthcare - Hospital,4.7,2025-03-07,415,Red
272308,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,82001,82001.0,USA,236,USA,236,1019117,Cheyenne Regional Medical Center,Cheyenne Regional Medical CenterAttn: Receiving PO-043593,1019117,9000284857,11,1110-08050B,100768,OPTBDL7003B,100721,Optilume Strictures,101833,Uro,652.0,Uro Equipment,655.0,100769.0,9-Optilume,Invoice,90588255,521559,2025-02-10,2025-02-10,2025,202502,2025-02-01,0.0,0,0.0,0.0,-338.82,338.82,USD,0.0,-338.82,Yes,1011.0,Commissionable sales (Uro),,,,,,West,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,Cheyenne,WY,,,,,,,,,,,,,1717, ,82001,2024-04-16,,,1110-08050B,1019117,Cheyenne Regional Medical Center Attn: Accounts Payable,EA,521559000011.0,,,churned,2024-11-22,17,Healthcare - Hospital,5.8,2025-03-07,415,Red
1014975,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,2745,2745.0,USA,236,USA,236,1019229,New Bedford Rehabilitation Hospital,New Bedford Rehabilitation HospitalAttn: Accounts Payable,1019229,51360,999,SAP_FREIGHT,54882,SAP_FREIGHT,54882,Freight UR,101501,Uro,652.0,Uro Other,657.0,,,Invoice,90584308,507719,2024-12-05,2024-12-05,2024,202412,2024-12-01,1.0,0,0.0,14.58,14.58,0.0,USD,14.58,14.58,No,1013.0,Non-commissionable product sales,,,,X X,,X X,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,New Bedford,MA,,,,,,,,,,,,,1718, ,2745,2024-03-15,,,SAP_FREIGHT,1019229,New Bedford Rehabilitation Hospital Attn: Accounts Payable,,507719000000.0,,,at_risk,2024-12-05,17,Healthcare - Hospital,6.5,2026-03-07,50,Yellow
272864,171017101010,S/4HANA,201,USA,315,USA,327,USA,531,2745,2745.0,USA,236,USA,236,1019229,New Bedford Rehabilitation Hospital,New Bedford Rehabilitation HospitalAttn: Accounts Payable,1019229,51360,10,07-1020,11789,07-1020,11789,Other Uro Tx Disposables,51581,Uro,652.0,Uro Disposables,656.0,,,Invoice,90584308,507719,2026-03-07,2026-03-07,2026,202603,2026-03-01,4.0,0,0.0,306.0,208.32,97.68,USD,306.0,208.32,No,1013.0,Non-commissionable product sales,,,,X X,,X X,,,0.0,X X,0.0,X X,2024-05-30 03:36:19.457,New Bedford,MA,,,,,,,,,,,,,1718, ,2745,2024-03-15,,,07-1020,1019229,New Bedford Rehabilitation Hospital Attn: Accounts Payable,CS,507719000010.0,,,at_risk,2024-12-05,17,Healthcare - Hospital,4.3,2026-03-07,50,Yellow
