transactiondate,product,product_GBU,yearmth,customer_no,bill_to_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss,sales_inactivity
03/16/2025,Ph/Impedance Catheters,GI,202301,1059073,Teprel Equipamento Medicos,,1059073,Teprel Equipamento Medicos,,20154543.0,90378467,Invoice,5156.12,942.42,50.0,257806.0,256863.58,89
03/16/2025,Other Uro Dx Equipment,Uro,202301,1078718,Healthcare Materials Management Services,,1078718,Healthcare Materials Management Services,,20166113.0,90378519,Invoice,134.06,19.74,1.0,134.06,114.32,89
03/16/2025,babyLance,CI,202301,1078703,"Distribution Cooperative, Inc.",,1078703,"Distribution Cooperative, Inc.",,20162912.0,90378509,Invoice,1560.0,780.0,2000.0,3120000.0,3119220.0,89
03/16/2025,T-Doc Catheters,Uro,202301,1070228,Radboud Umc 205 Crediteurenadministratie,,1070228,Radboud Umc 205 Crediteurenadministratie,,20150936.0,90378470,Invoice,1083.65,172.63,50.0,54182.5,54009.87,89
03/16/2025,ROM,CI,202301,1078657,HCA Rio Grande Regional Hospital,,1078657,HCA Rio Grande Regional Hospital,,20170409.0,90378502,Invoice,15250.0,2705.0,500.0,7625000.0,7622295.0,89
03/16/2025,Flowmaster,Uro,202301,1069376,Urovision F.H. Uro,,1069376,Urovision F.H. Uro,,1059021.0,90378463,Invoice,0.0,0.0,0.0,0.0,0.0,89
03/16/2025,Tubing,Uro,202301,1059512,"NÖ LGA, p.a. UK Wr. Neustadt FIBU",,1059512,"NÖ LGA, p.a. UK Wr. Neustadt FIBU",,20153339.0,90378493,Invoice,0.0,153.2,0.0,0.0,-153.2,89
03/16/2025,InjeTAK,Uro,202301,1078661,Alberta Health Service,,1078661,Alberta Health Service,,20162376.0,90378516,Invoice,226.42,47.78,4.0,905.68,857.9,89
03/16/2025,Ph/Impedance Catheters,GI,202301,1069667,EB Neuro  S.p.A.,,1069667,EB Neuro  S.p.A.,,20156439.0,90378456,Invoice,661.15,188.48,10.0,6611.5,6423.02,89
03/17/2025,Optilume Strictures,Uro,202301,1019036,Columbus Reg Healthcare System,,1019036,Columbus Reg Healthcare System,,20164176.0,90378534,Invoice,2095.0,0.0,1.0,2095.0,2095.0,88
